attack_key,attack,method,f,acc_mean,acc_std,n_seeds,accept_mean,accept_std
minmax,MinMax,AnchoredClip-NoGate,0.49,0.4837,0.0,1,1.0,
minmax,MinMax,AnchoredClip-NoGate,0.6,0.4821,0.0,1,1.0,
minmax,MinMax,DP-FedAvg,0.0,0.7213666666666666,0.01240859916885596,3,1.0,0.0
minmax,MinMax,DP-FedAvg,0.1,0.6498,0.0,1,1.0,
minmax,MinMax,DP-FedAvg,0.2,0.603,0.0,1,1.0,
minmax,MinMax,DP-FedAvg,0.3,0.5183,0.0,1,1.0,
minmax,MinMax,DP-FedAvg,0.4,0.3945,0.10697083714732722,3,1.0,0.0
minmax,MinMax,DP-FedAvg,0.49,0.2515,0.0,1,1.0,
minmax,MinMax,DP-FedAvg,0.6,0.0708,0.0,1,1.0,
minmax,MinMax,DP-FedAvg+Public,0.0,0.7193,0.0,1,,
minmax,MinMax,DP-FedAvg+Public,0.1,0.6726,0.0,1,,
minmax,MinMax,DP-FedAvg+Public,0.2,0.6309,0.0,1,,
minmax,MinMax,DP-FedAvg+Public,0.3,0.515,0.0,1,,
minmax,MinMax,DP-FedAvg+Public,0.4,0.5378,0.0,1,,
minmax,MinMax,DP-FedAvg+Public,0.49,0.3682,0.0,1,,
minmax,MinMax,DP-FedAvg+Public,0.6,0.4467,0.0,1,,
minmax,MinMax,FLTrust,0.0,0.7505,0.0,1,,
minmax,MinMax,FLTrust,0.1,0.7475,0.0,1,,
minmax,MinMax,FLTrust,0.2,0.7453,0.0,1,,
minmax,MinMax,FLTrust,0.3,0.7469,0.0,1,,
minmax,MinMax,FLTrust,0.4,0.7471,0.0,1,,
minmax,MinMax,FLTrust,0.49,0.7434,0.0,1,,
minmax,MinMax,FLTrust,0.6,0.743,0.0,1,,
minmax,MinMax,FedVRDP,0.0,0.7739,0.0,1,1.0,
minmax,MinMax,FedVRDP,0.1,0.728,0.0,1,1.0,
minmax,MinMax,FedVRDP,0.2,0.6013,0.0,1,1.0,
minmax,MinMax,FedVRDP,0.3,0.5358,0.0,1,1.0,
minmax,MinMax,FedVRDP,0.4,0.4815,0.0,1,1.0,
minmax,MinMax,FedVRDP,0.49,0.5016,0.0,1,1.0,
minmax,MinMax,FedVRDP,0.6,0.4492,0.0,1,1.0,
minmax,MinMax,FedVRDP-10ep,0.0,0.835,0.0,1,1.0,
minmax,MinMax,FedVRDP-10ep,0.1,0.7787,0.0,1,1.0,
minmax,MinMax,FedVRDP-10ep,0.2,0.712,0.0,1,1.0,
minmax,MinMax,FedVRDP-10ep,0.3,0.6145,0.0,1,1.0,
minmax,MinMax,FedVRDP-10ep,0.4,0.4679,0.0,1,1.0,
minmax,MinMax,FedVRDP-10ep,0.49,0.3445,0.0,1,1.0,
minmax,MinMax,FedVRDP-10ep,0.6,0.285,0.0,1,1.0,
minmax,MinMax,FedVRDP-style,0.0,0.7542,0.0,1,1.0,
minmax,MinMax,FedVRDP-style,0.1,0.7001,0.0,1,1.0,
minmax,MinMax,FedVRDP-style,0.2,0.5938,0.0,1,1.0,
minmax,MinMax,FedVRDP-style,0.3,0.4512,0.0,1,1.0,
minmax,MinMax,FedVRDP-style,0.4,0.3666,0.0,1,1.0,
minmax,MinMax,FedVRDP-style,0.49,0.3338,0.0,1,1.0,
minmax,MinMax,FedVRDP-style,0.6,0.3187,0.0,1,1.0,
minmax,MinMax,Krum,0.0,0.7174333333333333,0.004781561809004817,3,1.0,0.0
minmax,MinMax,Krum,0.1,0.7114,0.0,1,1.0,
minmax,MinMax,Krum,0.2,0.7071,0.0,1,1.0,
minmax,MinMax,Krum,0.3,0.7117,0.0,1,1.0,
minmax,MinMax,Krum,0.4,0.15410000000000001,0.01216552506059643,3,1.0,0.0
minmax,MinMax,Krum,0.49,0.1621,0.0,1,1.0,
minmax,MinMax,Krum,0.6,0.1025,0.0,1,1.0,
minmax,MinMax,Median,0.0,0.7698,0.0,1,1.0,
minmax,MinMax,Median,0.1,0.7326,0.0,1,1.0,
minmax,MinMax,Median,0.2,0.6818,0.0,1,1.0,
minmax,MinMax,Median,0.3,0.516,0.0,1,1.0,
minmax,MinMax,Median,0.4,0.2016,0.0,1,1.0,
minmax,MinMax,Median,0.49,0.0972,0.0,1,1.0,
minmax,MinMax,Median,0.6,0.1025,0.0,1,1.0,
minmax,MinMax,SparseFed-style,0.0,0.7951666666666667,0.013169029323884593,3,1.0,0.0
minmax,MinMax,SparseFed-style,0.1,0.7476,0.0,1,1.0,
minmax,MinMax,SparseFed-style,0.2,0.7183,0.0,1,1.0,
minmax,MinMax,SparseFed-style,0.3,0.6683,0.0,1,1.0,
minmax,MinMax,SparseFed-style,0.4,0.4723333333333333,0.0180422651940751,3,1.0,0.0
minmax,MinMax,SparseFed-style,0.49,0.4631,0.0,1,1.0,
minmax,MinMax,SparseFed-style,0.6,0.2093,0.0,1,1.0,
minmax,MinMax,TrimmedMean,0.0,0.7966333333333333,0.012963924302977662,3,1.0,0.0
minmax,MinMax,TrimmedMean,0.1,0.7291,0.0,1,1.0,
minmax,MinMax,TrimmedMean,0.2,0.681,0.0,1,1.0,
minmax,MinMax,TrimmedMean,0.3,0.4971,0.0,1,1.0,
minmax,MinMax,TrimmedMean,0.4,0.15603333333333333,0.04363603251136992,3,1.0,0.0
minmax,MinMax,TrimmedMean,0.49,0.1693,0.0,1,1.0,
minmax,MinMax,TrimmedMean,0.6,0.1025,0.0,1,1.0,
minsum,MinSum,AG-PTR,0.0,0.7728,0.0,1,0.9444444444444444,
minsum,MinSum,AG-PTR,0.1,0.7605,0.0,1,0.9388888888888888,
minsum,MinSum,AG-PTR,0.2,0.7658,0.0,1,0.8611111111111112,
minsum,MinSum,AG-PTR,0.3,0.7629,0.0,1,0.6333333333333333,
minsum,MinSum,AG-PTR,0.4,0.7314,0.0,1,0.3555555555555555,
minsum,MinSum,AG-PTR,0.49,0.6524,0.0,1,0.1333333333333333,
minsum,MinSum,AG-PTR,0.6,0.0427,0.0,1,0.0,
minsum,MinSum,AnchoredClip-NoGate,0.0,0.8007,0.0,1,1.0,
minsum,MinSum,AnchoredClip-NoGate,0.1,0.7733,0.0,1,1.0,
minsum,MinSum,AnchoredClip-NoGate,0.2,0.7267,0.0,1,1.0,
minsum,MinSum,AnchoredClip-NoGate,0.3,0.6396,0.0,1,1.0,
minsum,MinSum,AnchoredClip-NoGate,0.4,0.5576,0.0,1,1.0,
minsum,MinSum,AnchoredClip-NoGate,0.49,0.4182,0.0,1,1.0,
minsum,MinSum,AnchoredClip-NoGate,0.6,0.3787,0.0,1,1.0,
minsum,MinSum,DP-FedAvg,0.0,0.7087,0.0,1,1.0,
minsum,MinSum,DP-FedAvg,0.1,0.6383,0.0,1,1.0,
minsum,MinSum,DP-FedAvg,0.2,0.5734,0.0,1,1.0,
minsum,MinSum,DP-FedAvg,0.3,0.4695,0.0,1,1.0,
minsum,MinSum,DP-FedAvg,0.4,0.298,0.0,1,1.0,
