attack_key,attack,method,f,acc_mean,acc_std,n_seeds,accept_mean,accept_std
sf,SF,Krum,0.1,0.7276,0.0,1,1.0,
sf,SF,Krum,0.2,0.699,0.0,1,1.0,
sf,SF,Krum,0.3,0.6946,0.0,1,1.0,
sf,SF,Krum,0.4,0.7182,0.0,1,1.0,
sf,SF,Krum,0.49,0.1,0.0,1,1.0,
sf,SF,Krum,0.6,0.1,0.0,1,1.0,
sf,SF,Median,0.0,0.7415,0.0,1,1.0,
sf,SF,Median,0.1,0.6541,0.0,1,1.0,
sf,SF,Median,0.2,0.4598,0.0,1,1.0,
sf,SF,Median,0.3,0.3319,0.0,1,1.0,
sf,SF,Median,0.4,0.1918,0.0,1,1.0,
sf,SF,Median,0.49,0.1255,0.0,1,1.0,
sf,SF,Median,0.6,0.1,0.0,1,1.0,
sf,SF,SparseFed-style,0.0,0.8003,0.0,1,1.0,
sf,SF,SparseFed-style,0.1,0.6493,0.0,1,1.0,
sf,SF,SparseFed-style,0.2,0.3379,0.0,1,1.0,
sf,SF,SparseFed-style,0.3,0.2416,0.0,1,1.0,
sf,SF,SparseFed-style,0.4,0.2807,0.0,1,1.0,
sf,SF,SparseFed-style,0.49,0.1,0.0,1,1.0,
sf,SF,SparseFed-style,0.6,0.1,0.0,1,1.0,
sf,SF,TrimmedMean,0.0,0.8045,0.0,1,1.0,
sf,SF,TrimmedMean,0.1,0.7326,0.0,1,1.0,
sf,SF,TrimmedMean,0.2,0.5221,0.0,1,1.0,
sf,SF,TrimmedMean,0.3,0.3033,0.0,1,1.0,
sf,SF,TrimmedMean,0.4,0.1961,0.0,1,1.0,
sf,SF,TrimmedMean,0.49,0.232,0.0,1,1.0,
sf,SF,TrimmedMean,0.6,0.1,0.0,1,1.0,
