Dataset,Attack,Method,Percentage of Byzantine Cliets (%),Accuracy,Accept_Rate
Fashion-MNIST-non-IID,ALIE,SparseFed-style,0.0,0.8003,1.0
Fashion-MNIST-non-IID,ALIE,AG-PTR,0.0,0.7712,0.9166666666666666
Fashion-MNIST-non-IID,ALIE,DP-FedAvg,0.1,0.6806,1.0
Fashion-MNIST-non-IID,ALIE,Median,0.1,0.6971,1.0
Fashion-MNIST-non-IID,ALIE,TrimmedMean,0.1,0.7277,1.0
Fashion-MNIST-non-IID,ALIE,Krum,0.1,0.712,1.0
Fashion-MNIST-non-IID,ALIE,SparseFed-style,0.1,0.7559,1.0
Fashion-MNIST-non-IID,ALIE,AG-PTR,0.1,0.761,0.9
Fashion-MNIST-non-IID,ALIE,DP-FedAvg,0.2,0.57,1.0
Fashion-MNIST-non-IID,ALIE,Median,0.2,0.6902,1.0
Fashion-MNIST-non-IID,ALIE,TrimmedMean,0.2,0.6832,1.0
Fashion-MNIST-non-IID,ALIE,Krum,0.2,0.6965,1.0
Fashion-MNIST-non-IID,ALIE,SparseFed-style,0.2,0.6557,1.0
Fashion-MNIST-non-IID,ALIE,AG-PTR,0.2,0.7373,0.7333333333333333
Fashion-MNIST-non-IID,ALIE,DP-FedAvg,0.3,0.3544,1.0
Fashion-MNIST-non-IID,ALIE,Median,0.3,0.6407,1.0
Fashion-MNIST-non-IID,ALIE,TrimmedMean,0.3,0.5544,1.0
Fashion-MNIST-non-IID,ALIE,Krum,0.3,0.702,1.0
Fashion-MNIST-non-IID,ALIE,SparseFed-style,0.3,0.5251,1.0
Fashion-MNIST-non-IID,ALIE,AG-PTR,0.3,0.7424,0.5722222222222222
Fashion-MNIST-non-IID,ALIE,DP-FedAvg,0.4,0.1757,1.0
Fashion-MNIST-non-IID,ALIE,Median,0.4,0.3134,1.0
Fashion-MNIST-non-IID,ALIE,TrimmedMean,0.4,0.1653,1.0
Fashion-MNIST-non-IID,ALIE,Krum,0.4,0.717,1.0
Fashion-MNIST-non-IID,ALIE,SparseFed-style,0.4,0.308,1.0
Fashion-MNIST-non-IID,ALIE,AG-PTR,0.4,0.7155,0.3277777777777778
Fashion-MNIST-non-IID,ALIE,DP-FedAvg,0.49,0.1151,1.0
Fashion-MNIST-non-IID,ALIE,Median,0.49,0.1003,1.0
Fashion-MNIST-non-IID,ALIE,TrimmedMean,0.49,0.1002,1.0
Fashion-MNIST-non-IID,ALIE,Krum,0.49,0.1,1.0
Fashion-MNIST-non-IID,ALIE,SparseFed-style,0.49,0.1,1.0
Fashion-MNIST-non-IID,ALIE,AG-PTR,0.49,0.6157,0.0888888888888888
Fashion-MNIST-non-IID,ALIE,DP-FedAvg,0.6,0.0927,1.0
Fashion-MNIST-non-IID,ALIE,Median,0.6,0.1,1.0
Fashion-MNIST-non-IID,ALIE,TrimmedMean,0.6,0.1,1.0
Fashion-MNIST-non-IID,ALIE,Krum,0.6,0.1,1.0
Fashion-MNIST-non-IID,ALIE,SparseFed-style,0.6,0.1,1.0
Fashion-MNIST-non-IID,ALIE,AG-PTR,0.6,0.1438,0.0055555555555555
Fashion-MNIST-non-IID,SF,DP-FedAvg,0.0,0.6882,1.0
Fashion-MNIST-non-IID,SF,Median,0.0,0.7415,1.0
Fashion-MNIST-non-IID,SF,TrimmedMean,0.0,0.8045,1.0
Fashion-MNIST-non-IID,SF,Krum,0.0,0.7123,1.0
Fashion-MNIST-non-IID,SF,SparseFed-style,0.0,0.8003,1.0
Fashion-MNIST-non-IID,SF,AG-PTR,0.0,0.7712,0.9166666666666666
Fashion-MNIST-non-IID,SF,DP-FedAvg,0.1,0.6151,1.0
Fashion-MNIST-non-IID,SF,Median,0.1,0.6541,1.0
Fashion-MNIST-non-IID,SF,TrimmedMean,0.1,0.7326,1.0
Fashion-MNIST-non-IID,SF,Krum,0.1,0.7276,1.0
Fashion-MNIST-non-IID,SF,SparseFed-style,0.1,0.6493,1.0
Fashion-MNIST-non-IID,SF,AG-PTR,0.1,0.7111,0.8111111111111111
Fashion-MNIST-non-IID,SF,DP-FedAvg,0.2,0.5619,1.0
Fashion-MNIST-non-IID,SF,Median,0.2,0.4598,1.0
